,Date,Action,Type,ADBE_Shares,ORCL_Shares,ADBE_Price,ORCL_Price
70,2022-04-08,Open Position,lower,112.27376928000814,617.7415183079071,445.3399963378906,80.94000244140625
71,2022-04-19,Close Position,lower,114.57378712030912,628.456530094491,436.3999938964844,79.55999755859375
72,2022-04-21,Open Position,lower,119.76621319394721,629.089052443254,417.4800109863281,79.4800033569336
73,2022-05-02,Close Position,lower,122.7626481156001,675.6756756756756,407.2900085449219,74.0
74,2022-05-04,Open Position,upper,118.10558469148629,664.8052201655014,423.3500061035156,75.20999908447266
75,2022-05-05,Close Position,upper,124.84082490038031,686.8131580221508,400.510009765625,72.80000305175781
76,2022-05-06,Open Position,lower,127.87396422401171,689.7503307141078,391.010009765625,72.48999786376953
77,2022-05-13,Close Position,lower,123.31976444600267,702.5432244821563,405.45001220703125,71.16999816894531
78,2022-05-16,Open Position,upper,124.11259945900724,717.2572178549505,402.8599853515625,69.70999908447266
79,2022-05-24,Close Position,upper,125.4988568068308,724.3227710297417,398.4100036621094,69.02999877929688
80,2022-05-26,Open Position,upper,122.36906327243884,697.739288931097,408.6000061035156,71.66000366210938
81,2022-06-10,Close Position,upper,126.95510985406129,744.71254772917,393.8399963378906,67.13999938964844
82,2022-06-13,Open Position,lower,134.53518315925626,780.6400877076583,371.6499938964844,64.05000305175781
83,2022-06-23,Close Position,lower,132.75275609435946,739.3169012360568,376.6400146484375,67.62999725341797
84,2022-06-24,Open Position,upper,128.9590422020512,707.2136090275058,387.7200012207031,70.69999694824219
85,2022-06-28,Close Position,upper,136.7502648367861,729.0755127591552,365.6300048828125,68.58000183105469
86,2022-06-30,Open Position,lower,136.58963102625466,715.6146849077653,366.05999755859375,69.87000274658203
87,2022-07-05,Close Position,lower,132.8056556533513,694.5409290693082,376.489990234375,71.98999786376953
88,2022-07-06,Open Position,upper,130.6062789064243,697.739288931097,382.8299865722656,71.66000366210938
89,2022-07-12,Close Position,upper,133.14160638631137,710.1263655651126,375.5400085449219,70.41000366210938
90,2022-07-13,Open Position,lower,134.4302835720844,713.9797354213522,371.94000244140625,70.02999877929688
91,2022-07-19,Close Position,lower,128.9224704925784,692.1373405116954,387.8299865722656,72.23999786376953
92,2022-07-20,Open Position,upper,124.5361060454131,688.8001449574524,401.489990234375,72.58999633789062
